Date,total_kwh_per_day,Temp_max,Hum_max,Wind_avg,Precipit
10/6/2019,35.119,93,88,9.4,0
6/20/2017,30.729,93,88,9.5,0
4/8/2019,27.408,93,88,6.2,0
7/17/2019,40.613,93,88,7.2,0
8/31/2016,39.477,93,88,5.9,0
7/25/2017,15.949,94,88,7.9,0
11/6/2018,38.814,94,88,10.1,0
6/16/2017,26.43,94,88,8.3,0
4/7/2017,27.184,95,88,6.3,0
3/7/2017,19.432,95,88,8.1,0
5/7/2020,36.565,95,88,6.2,0
7/25/2016,39.835,95,88,6.7,0
8/31/2019,34.252,95,88,6.1,0
12/6/2018,31.419,96,88,9.7,0
1/9/2016,47.363,96,88,6.3,0.01
7/7/2016,41.832,97,88,9.6,0
8/18/2019,40.429,97,88,8.3,0
7/13/2016,47.16,97,88,8.9,0
7/14/2016,48.224,97,88,7.4,0
1/9/2019,33.782,99,88,6.1,0
6/1/2017,13.764,44,89,15.8,0
11/14/2018,13.391,53,89,7.7,0
1/14/2019,12.872,56,89,6.1,0
12/15/2017,11.328,56,89,7.8,0
5/1/2018,12.39,56,89,5.3,0
8/4/2018,12.516,57,89,7.6,0
5/12/2018,10.017,59,89,4.7,0
1/11/2019,9.734,59,89,4.3,0
2/14/2020,10.89,61,89,6.1,0
12/30/2019,4.947,61,89,5.7,0.71
10/1/2019,9.809,61,89,3.9,0
11/16/2019,9.536,63,89,2.3,0
12/15/2018,11.211,65,89,8.3,0
11/23/2017,5.842,66,89,2.7,0
11/20/2017,10.073,67,89,6.4,0
2/11/2019,9.968,67,89,5.5,0
2/16/2017,10.749,67,89,2.7,0
11/24/2019,10.005,69,89,2.6,0
10/29/2017,8.517,70,89,3.4,0
3/12/2019,11.272,71,89,2.8,0
3/13/2018,8.905,71,89,3.4,0
7/12/2019,9.136,72,89,5.6,0
3/27/2019,14.13,75,89,8.9,0
10/2/2017,9.185,76,89,9.7,0
10/24/2017,12.008,77,89,10.3,0
4/27/2018,10.623,80,89,5,0
10/23/2016,17.701,80,89,6,0
2/22/2017,8.723,83,89,4.4,0
4/26/2020,14.571,85,89,4.9,0
5/21/2020,29.095,91,89,11.2,0
6/23/2019,39.292,93,89,13.8,0.02
6/7/2016,43.361,95,89,9.9,0
11/14/2019,11.619,47,90,9,0
5/1/2017,10.28,56,90,7,0
1/31/2020,9.99,58,90,5.8,0
5/2/2020,10.816,58,90,13.4,0
11/1/2020,9.582,63,90,11.9,1.11
12/14/2016,9.839,63,90,6.9,0
4/3/2017,10.638,64,90,9,0
9/1/2019,8.907,64,90,9.3,0
2/12/2016,11.611,65,90,11.4,0
8/1/2020,11.105,67,90,9.7,0
3/11/2019,10.592,68,90,4.5,0
2/23/2020,10.913,68,90,9.8,0
10/26/2019,8.241,68,90,7.6,0.26
10/27/2017,7.764,68,90,11.2,0
11/22/2017,8.944,69,90,11.4,0
1/3/2020,11.372,71,90,11.1,0
10/11/2016,13.386,72,90,5.9,0
12/29/2016,5.909,72,90,13.4,0
4/4/2018,15.547,73,90,14.8,0.01
2/26/2017,11.033,73,90,12.2,0
12/13/2019,10.589,74,90,4.5,0
5/12/2019,8.626,74,90,5.4,0
4/12/2019,10.11,75,90,2.9,0
5/4/2017,12.53,75,90,12.7,0
9/1/2020,8.842,75,90,13.6,0
10/1/2020,9.437,76,90,18.1,0
9/11/2016,14.896,76,90,9.5,0
10/22/2016,14.585,77,90,4.6,0
10/4/2018,7.963,78,90,8.8,0.02
2/18/2020,10.094,78,90,8.4,0.01
1/3/2018,17.01,79,90,12.2,0
12/16/2019,10.584,79,90,13.2,0
4/15/2019,8.633,79,90,7.8,0
12/11/2016,14.982,79,90,5.8,0
3/17/2017,8.744,79,90,11.8,0
4/16/2019,11.125,80,90,13,0
4/25/2020,13.998,80,90,7.9,0.11
4/16/2018,8.336,80,90,6.1,0
10/18/2019,9.483,80,90,4.5,0
4/18/2018,13.201,81,90,6.8,0
1/10/2016,42.203,81,90,3.3,0
10/21/2019,18.362,81,90,9.3,0.26
2/28/2017,14.887,82,90,12.1,0
2/28/2018,15.771,83,90,11,0
9/5/2017,15.209,83,90,9.7,0
8/5/2017,18.188,83,90,10.1,0
9/12/2019,11.292,83,90,6.8,0
7/5/2020,15.263,84,90,11,0
3/16/2018,14.136,84,90,8.6,0
11/5/2017,19.041,84,90,10,0
4/29/2017,43.181,84,90,18.6,0
1/5/2020,13.195,85,90,7.3,0
11/2/2017,14.057,85,90,9.9,0
12/2/2017,21.634,85,90,5.9,0
2/10/2016,23.944,86,90,4.4,0
6/5/2018,26.534,86,90,3.3,0.1
10/6/2017,20.146,86,90,8.4,0
5/16/2017,23.285,86,90,14.8,0
3/5/2018,15.896,86,90,14.4,0
8/4/2020,20.329,87,90,5.1,0
5/23/2019,22.195,87,90,17.5,0
5/17/2020,19.607,87,90,8.4,0.03
5/23/2017,14.513,87,90,8.8,0.19
4/30/2019,23.668,87,90,16.7,0
6/13/2017,26.265,89,90,13.5,0.02
1/9/2017,30.778,90,90,4.3,0
1/10/2017,30.398,90,90,4.1,0
5/25/2017,18.384,90,90,10.5,0
7/5/2018,23.494,90,90,4.5,0
6/27/2020,29.457,90,90,9.3,0
9/29/2019,29.898,90,90,10,0
6/28/2020,31.111,91,90,10.3,0
6/13/2019,30.395,91,90,5.8,0
5/28/2019,11.927,91,90,12.8,0
7/17/2017,26.897,91,90,4.5,0
5/28/2017,26.194,91,90,11.7,0
6/14/2017,29.41,92,90,10.1,0.07
7/23/2017,16.967,92,90,6.8,0.9
7/6/2017,29.238,92,90,7.7,0.15
7/13/2019,35.303,92,90,12.6,0
8/20/2019,34.104,92,90,4.5,0
5/7/2017,38.479,93,90,7.7,0
8/30/2016,33.066,93,90,7,0.1
6/28/2018,42.551,93,90,8.1,0
6/15/2019,39.181,93,90,10.3,0
2/7/2017,17.037,93,90,8.4,0
7/19/2019,40.793,93,90,7.9,0
6/17/2020,32.157,93,90,5.8,0
6/8/2017,12.585,94,90,6.3,0.39
10/7/2016,44.535,94,90,7.4,0.28
6/18/2020,35.148,94,90,7.6,0
6/14/2016,46.684,94,90,6.3,0
8/24/2019,38.087,94,90,5.8,0.16
8/23/2017,31.535,94,90,5.4,0
5/29/2018,17.669,94,90,5.5,0
6/15/2017,38.956,94,90,7.2,0
7/21/2019,37.524,94,90,6.3,0.01
7/30/2017,19.675,95,90,6.8,0
5/8/2019,36.171,95,90,4.7,0.13
7/20/2019,33.162,95,90,8.4,0
7/27/2019,44.617,95,90,7,0
7/22/2019,31.001,95,90,4,0
7/21/2017,23.649,95,90,5.6,0
6/17/2016,41.361,95,90,5.1,0
2/9/2016,24.097,95,90,7.4,0
7/17/2016,14.246,95,90,6,0
5/8/2016,48.771,96,90,4.1,0
9/13/2019,25.758,96,90,4.5,0.05
6/6/2020,30.628,96,90,7,0
9/9/2019,34.941,96,90,7.7,0
6/23/2017,30.763,96,90,9.3,0.07
7/31/2016,52.989,96,90,5.6,0
2/8/2019,34.988,96,90,3.6,0
7/29/2019,34.456,96,90,7.9,0.04
12/8/2017,33.197,96,90,5.7,0
