predicted_total_kwh_per_day,Date,total_kwh_per_day,Temp_max,Hum_max,Wind_avg,Precipit
23.57421648,11/5/2020,16.659,83,84,7.9,0
24.14815401,12/3/2020,16.13,84,84,9,0
24.81155571,10/10/2016,20.678,84,84,3.5,0
25.68200822,10/9/2017,18.172,86,84,8,0
26.61780122,8/6/2017,26.397,87,84,6.1,0
26.83691388,5/19/2017,28.193,89,84,16,0
27.60384098,5/18/2017,26.111,90,84,15.5,0
30.1988203,7/14/2019,36.554,92,84,6.5,0.45
30.71276621,1/8/2017,15.512,93,84,7.3,0
30.76101361,7/26/2019,26.382,93,84,6.9,0
31.85361065,3/8/2019,25.433,94,84,3.7,0
31.12211238,7/6/2020,37.439,94,84,9.8,0.02
31.8727031,6/18/2017,31.108,95,84,9.4,0
32.59138282,5/7/2016,45.24,96,84,9.3,0
32.95323829,11/7/2019,40.537,96,84,6.3,0
34.23379368,4/9/2019,38.999,98,84,7.4,0
-2.918357913,11/13/2019,14.334,45,85,4.2,0
7.789466679,2/27/2020,12.04,60,85,3.3,0
21.37904073,3/28/2020,12.326,80,85,7.8,0
21.8685453,11/26/2019,10.352,81,85,9.6,0
23.08879144,1/3/2017,15.812,83,85,11.2,0
27.08023103,11/6/2019,26.084,88,85,7.4,0
27.48027142,4/28/2017,27.573,90,85,15.8,0
28.05924018,5/26/2017,22.209,90,85,11,0
29.26039387,5/5/2020,23.301,91,85,6.9,0
28.53668291,5/23/2020,29.18,91,85,12.9,0
29.95494988,8/31/2017,27.518,92,85,7,0
29.70165105,6/17/2017,26.021,92,85,9.1,0
29.70165105,7/15/2019,45.42576743,92,85,9.1,0
30.16703193,5/27/2017,30,93,85,11.1,0
31.26680255,10/6/2020,31.555,94,85,8,0.09
31.03045383,1/7/2020,39.825,94,85,9.8,0
31.83356649,8/16/2017,34.792,95,85,9,0
32.08701336,7/24/2017,16.727,95,85,7.2,0.17
31.77325724,3/7/2016,63.001,95,85,9.5,0
32.90203983,2/7/2020,44.567,96,85,6,0
32.61255544,9/6/2020,47.132,96,85,8.4,0
32.75729763,9/14/2019,34.391,96,85,7.2,0
32.62461729,8/14/2017,34.663,96,85,8.3,0
32.68492654,8/15/2017,32.002,96,85,7.8,0
33.45185365,8/17/2017,35.281,97,85,7.3,0
33.17443112,12/7/2016,43.278,97,85,9.6,0
33.18649297,4/7/2016,58.908,97,85,9.5,0
34.06197672,8/17/2019,46.031,98,85,8.1,0
34.02579117,12/8/2016,57.734,98,85,8.4,0
34.25496631,7/8/2019,41.433,98,85,6.5,0
34.86508938,7/29/2017,22.195,99,85,7.3,0
35.16663561,7/27/2018,39.746,99,85,4.8,0
34.85302753,8/8/2019,42.648,99,85,7.4,0
34.84096568,9/8/2019,29.747,99,85,7.5,0
35.57170724,12/8/2019,46.382,100,85,7.3,0
35.65614018,11/8/2019,36.418,100,85,6.6,0
35.48727429,11/8/2016,56.953,100,85,8,0
36.38688174,8/13/2019,52.836,101,85,6.4,0
-6.307656743,4/3/2019,13.856,42,86,14,0
0.003037831902,10/11/2018,9.481,50,86,8.6,0.03
1.079303551,6/2/2020,11.622,52,86,11.5,0.09
3.305571444,1/15/2019,12.968,54,86,4.6,0
2.806004384,3/31/2019,9.685,55,86,14.6,0
4.367029387,10/31/2019,11.293,57,86,13.8,0.24
6.428557886,1/13/2019,12.397,59,86,8,0
7.865917311,4/12/2018,9.943,61,86,7.8,0
8.64490627,12/22/2019,4.875,62,86,7.2,0
9.11531839,12/12/2019,9.588,62,86,3.3,0
10.30640959,9/1/2017,9.881,65,86,11,0
10.95774945,1/23/2018,8.49,65,86,5.6,0
11.30251183,2/15/2020,10.948,66,86,8.6,0
12.75910162,9/11/2019,9.639,67,86,2.4,0.01
13.8083446,3/14/2017,9.158,69,86,5.4,0
15.41456991,12/23/2019,4.95,71,86,3.8,0
15.83170339,3/19/2019,10.795,72,86,6.2,0
17.05194953,2/29/2020,10.557,74,86,7.8,0
19.5095349,11/30/2017,7.817,77,86,5,0
21.12279082,10/23/2019,9.956,80,86,9.2,0
21.68969774,7/4/2017,10.487,80,86,4.5,0
26.3224147,1/5/2017,16.642,87,86,7.1,0
10.77387064,10/22/2018,9.709,65,87,6.4,0
12.16298267,10/17/2019,8.779,67,87,6.6,0
16.81982333,9/3/2020,8.551,74,87,9,0
17.59881229,11/12/2016,10.974,75,87,8.4,0
17.30154059,3/31/2020,13.883,75,87,10.9,0.02
17.34551345,2/4/2020,11.968,75,87,10.5,0
17.84707988,11/4/2020,13.309,76,87,12.2,0
18.91555322,3/30/2018,6.02,77,87,9.2,0
18.77081103,10/1/2017,8.897,77,87,10.4,0
19.97899532,10/4/2017,16.727,79,87,12.1,0
19.67744909,2/20/2018,11.896,79,87,14.6,0
20.97509756,3/13/2020,16.101,80,87,9.7,0
21.37313859,5/11/2016,30.718,80,87,6.4,0
20.81829352,11/21/2019,9.263,80,87,11,0
21.67083286,3/25/2017,13.44,80,87,6.2,1.28
21.63346803,11/30/2019,11.819,81,87,10.1,0
22.35214774,3/24/2018,14.149,82,87,10,0
22.76225061,10/5/2020,12.806,82,87,6.6,0
22.2677148,3/18/2020,17.623,82,87,10.7,0
22.55216794,4/13/2018,14.547,83,87,14.2,0
23.02258006,4/28/2020,15.744,83,87,10.3,0
23.17159679,5/24/2017,12.427,83,87,9.1,0.02
23.33618814,8/10/2019,17.085,83,87,7.7,0
22.64866273,12/5/2020,15.777,83,87,13.4,0
22.94242165,10/5/2017,18.148,83,87,11,0.02
22.87783786,4/17/2018,8.458,83,87,11.5,0
24.18754819,8/9/2017,19.341,84,87,6.5,0
23.65682682,4/22/2020,16.744,84,87,10.9,0
24.68911462,7/2/2017,11.572,85,87,8.2,0
24.32725914,3/4/2018,12.83,85,87,11.2,0
23.92921811,2/5/2018,16.391,85,87,14.5,0
24.63398973,6/5/2020,19.904,85,87,9.1,0.25
25.09921749,9/6/2017,23.069,85,87,4.8,0
24.08752415,8/30/2017,25.931,85,87,14.8,0.91
24.51521749,1/5/2019,20.794,86,87,15.5,0
25.80583535,9/13/2017,18.2,86,87,4.8,0
26.12647404,3/24/2020,17.808,87,87,8,0
27.46030806,9/28/2016,32.142,88,87,2.8,0
26.67628786,8/10/2016,27.436,88,87,9.3,0
28.71170851,10/10/2019,23.906,91,87,10,0
29.65956336,3/9/2016,5.886,92,87,8,0
30.87277889,5/10/2019,25.183,93,87,3.8,0
31.54534847,5/18/2020,31.937,94,87,4.1,0.01
31.14517018,5/19/2020,26.068,94,87,7.4,0
31.87591174,7/26/2017,17.133,95,87,7.2,0
32.72727179,9/15/2019,31.896,96,87,6,0
33.38564226,8/27/2019,33.749,97,87,6.4,0
34.04401273,2/9/2019,42.027,98,87,6.8,0
34.28524971,8/15/2019,40.959,98,87,4.8,0
34.23700232,7/9/2019,38.221,98,87,5.2,0
34.88331093,10/8/2016,57.28,99,87,5.7,0
35.57786695,7/26/2018,43.071,100,87,5.8,0
3.311731151,4/1/2018,10.94,54,88,3.1,0
2.370906911,8/11/2019,11.021,54,88,10.9,0
6.675954578,12/19/2019,13.371,59,88,4.5,0
23.91923644,5/29/2019,16.828,84,88,8,0
25.78075995,5/21/2019,28.195,88,88,16,0
26.6009657,4/23/2020,23.88,88,88,9.2,0
26.34263562,5/22/2019,33.152,89,88,17.2,0
26.99397548,12/4/2020,18.011,89,88,11.8,0
28.78112853,4/24/2020,18.105,91,88,8.7,0
29.27078116,6/30/2017,15.902,92,88,10.8,0.17
30.10993132,10/6/2019,35.119,93,88,9.4,0
30.375292,7/17/2019,40.613,93,88,7.2,0
30.09786947,6/20/2017,30.729,93,88,9.5,0
30.49591049,4/8/2019,27.408,93,88,6.2,0
30.53209604,8/31/2016,39.477,93,88,5.9,0
30.99747692,7/25/2017,15.949,94,88,7.9,0
30.94922952,6/16/2017,26.43,94,88,8.3,0
30.73211623,11/6/2018,38.814,94,88,10.1,0
31.90914622,5/7/2020,36.565,95,88,6.2,0
31.89708437,4/7/2017,27.184,95,88,6.3,0
31.92120807,8/31/2019,34.252,95,88,6.1,0
31.67997108,3/7/2017,19.432,95,88,8.1,0
31.84883697,7/25/2016,39.835,95,88,6.7,0
32.6058395,1/9/2016,47.363,96,88,6.3,0.01
32.19359936,12/6/2018,31.419,96,88,9.7,0
33.06908311,8/18/2019,40.429,97,88,8.3,0
32.99671201,7/13/2016,47.16,97,88,8.9,0
33.17763975,7/14/2016,48.224,97,88,7.4,0
32.91227907,7/7/2016,41.832,97,88,9.6,0
34.74767952,1/9/2019,33.782,99,88,6.1,0
-5.373686349,6/1/2017,13.764,44,89,15.8,0
1.962884208,11/14/2018,13.391,53,89,7.7,0
4.372222179,5/1/2018,12.39,56,89,5.3,0
4.070675948,12/15/2017,11.328,56,89,7.8,0
4.275727385,1/14/2019,12.872,56,89,6.1,0
4.80141751,8/4/2018,12.516,57,89,7.6,0
6.612694261,1/11/2019,9.734,59,89,4.3,0
6.564446864,5/12/2018,10.017,59,89,4.7,0
7.808816701,2/14/2020,10.89,61,89,6.1,0
8.074177385,10/1/2019,9.809,61,89,3.9,0
8.008810278,12/30/2019,4.947,61,89,5.7,0.71
9.680402699,11/16/2019,9.536,63,89,2.3,0
10.36992747,12/15/2018,11.211,65,89,8.3,0
11.75200889,11/23/2017,5.842,66,89,2.7,0
12.12089498,2/11/2019,9.968,67,89,5.5,0
12.01233833,11/20/2017,10.073,67,89,6.4,0
12.45862675,2/16/2017,10.749,67,89,2.7,0
13.88392433,11/24/2019,10.005,69,89,2.6,0
14.4940474,10/29/2017,8.517,70,89,3.4,0
15.27303636,3/12/2019,11.272,71,89,2.8,0
15.20066526,3/13/2018,8.905,71,89,3.4,0
15.64192244,7/12/2019,9.136,72,89,5.6,0
17.36373501,3/27/2019,14.13,75,89,8.9,0
17.97385808,10/2/2017,9.185,76,89,9.7,0
18.60810485,10/24/2017,12.008,77,89,10.3,0
21.24661795,10/23/2016,17.701,80,89,6,0
21.36723644,4/27/2018,10.623,80,89,5,0
23.55946113,2/22/2017,8.723,83,89,4.4,0
24.91238761,4/26/2020,14.571,85,89,4.9,0
28.39219829,5/21/2020,29.095,91,89,11.2,0
29.49610047,6/23/2019,39.292,93,89,13.8,0.02
31.37547378,6/7/2016,43.361,95,89,9.9,0
-2.521011027,11/14/2019,11.619,47,90,9,0
4.079786727,5/1/2017,10.28,56,90,7,0
4.721064102,5/2/2020,10.816,58,90,13.4,0
5.637764644,1/31/2020,9.99,58,90,5.8,0
8.672318141,11/1/2020,9.582,63,90,11.9,1.11
